#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,driver
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-08-12T13:00:00Z,40.1,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-09-19T10:00:00Z,64.76,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-09-27T14:00:00Z,49.73,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-09-30T19:00:00Z,6.9,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-09-30T20:00:00Z,34.1,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-05T09:00:00Z,15.67,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-05T18:00:00Z,59.82,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-08T16:00:00Z,33.16,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-09T14:00:00Z,19.39,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-11T17:00:00Z,31.05,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-15T12:00:00Z,60.42,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-20T11:00:00Z,48.03,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-26T12:00:00Z,34.77,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-27T11:00:00Z,22.606,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-28T14:00:00Z,41.54,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-03T09:00:00Z,14.84,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-03T18:00:00Z,20.8,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-05T15:00:00Z,17.804,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-06T19:00:00Z,63.82,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-12T12:00:00Z,28.49,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-14T21:00:00Z,49.7,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-16T16:00:00Z,50.81,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-18T10:00:00Z,26.15,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-18T16:00:00Z,61.26,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-22T13:00:00Z,32.4,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-25T11:00:00Z,14.31,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-26T09:00:00Z,37.022,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-28T11:00:00Z,46.09,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-30T08:00:00Z,14.6,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-01T16:00:00Z,24.95,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-02T14:00:00Z,53.6,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-08T17:00:00Z,33.93,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-10T19:00:00Z,51.88,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-12T11:00:00Z,45.33,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-15T15:00:00Z,47.01,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-23T16:00:00Z,56.01,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-26T21:00:00Z,20.8,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-29T21:00:00Z,24.76,consumed,charge,Driver 1
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-08T08:00:00Z,41.5,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-09T08:00:00Z,23.9,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-10T21:00:00Z,34.6,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-19T18:00:00Z,40.1,consumed,charge,Driver 2
